ID,Governor Name,Place of Birth,Date of Birth,Wikipedia Personal Link
ae9ab986-17b7-4a01-9ab5-80a23ec8c38a,Lalu Muhamad Iqbal,"Praya, Nusa Tenggara Barat",10 Juli 1972,https://id.wikipedia.org/wiki/Lalu_Muhamad_Iqbal
81c39f83-7b5f-4849-b8c7-08b5873ab235,Emanuel Melkiades Laka Lena,"Kupang, Nusa Tenggara Timur",10 Desember 1976,https://id.wikipedia.org/wiki/Emanuel_Melkiades_Laka_Lena
fc39509a-99e9-4697-8d34-41a898388d72,Ria Norsan,"Singkawang, Kalimantan Barat",17 Desember 1967,https://id.wikipedia.org/wiki/Ria_Norsan
91b94b53-be13-4528-8a39-e8d39fc57574,Agustiar Sabran,"Sampit, Kotawaringin Timur, Kalimantan Tengah",17 Agustus 1972,https://id.wikipedia.org/wiki/Agustiar_Sabran
5bf183c4-61ef-462c-8e54-4e11d7f60f39,Muhidin,"Binuang, Tapin, Kalimantan Selatan",6 Mei 1958,https://id.wikipedia.org/wiki/Muhidin
2d2e2134-a483-414b-82e2-ccb248bd3bc0,Rudy Mas'ud,"Balikpapan, Kalimantan Timur",7 Desember 1981,https://id.wikipedia.org/wiki/Rudy_Mas%27ud
cd49993d-b931-4aec-8f34-8eb8abec909f,Zainal Arifin Paliwang,"Makassar, Sulawesi Selatan",6 Desember 1962,https://id.wikipedia.org/wiki/Zainal_Arifin_Paliwang
47e694f3-8ec3-4f5a-b968-8377e5b79830,Yulius Selvanus,"Semarang, Jawa Tengah",17 September 1963,https://id.wikipedia.org/wiki/Yulius_Selvanus
780a46f4-cc11-4ea3-a30b-61bc0bf9cae6,Anwar Hafid,"Wosu, Bungku Barat, Morowali",14 Agustus 1969,https://id.wikipedia.org/wiki/Anwar_Hafid
19deb1a5-e17a-4861-a355-fe0c05a9db3e,Andi Sudirman Sulaiman,"Bone, Sulawesi Selatan",25 September 1983,https://id.wikipedia.org/wiki/Andi_Sudirman_Sulaiman
e1818d39-fb05-4c9d-8b39-98a788b7867c,Andi Sumangerukka,Makassar,11 Maret 1963,https://id.wikipedia.org/wiki/Andi_Sumangerukka
06da041f-3c07-4c0a-b62c-99ac478ec9be,Gusnar Ismail,N/A,12 Desember 1959,https://id.wikipedia.org/wiki/Gusnar_Ismail
89106894-a2ef-41f7-b317-7184bd099b22,Suhardi Duka,"Mamuju, Sulawesi Selatan",10 Mei 1962,https://id.wikipedia.org/wiki/Suhardi_Duka
7cdda614-017c-4020-860b-5a31c9e3c64c,Hendrik Lewerissa,"Ambon, Maluku",2 Maret 1968,https://id.wikipedia.org/wiki/Hendrik_Lewerissa
10f67a19-7b3f-49dc-b5a5-842386cdd35a,Sherly Tjoanda," Ambon, Maluku",8 Agustus 1982,https://id.wikipedia.org/wiki/Sherly_Tjoanda
45765255-908a-46d2-a4d5-0ca3c30bd533,Ramses Limbong,"Samosir, Sumatera Utara",03 Desember 1965,https://id.wikipedia.org/wiki/Ramses_Limbong
c0850fab-9ecc-403a-bf5c-33df525d1150,Dominggus Mandacan,"Manokwari, Nugini Belanda",16 Desember 1959,https://id.wikipedia.org/wiki/Dominggus_Mandacan
1f6ad9c7-35a1-4e36-a98b-2353fe88ea99,Apolo Safanpo,"Agats, Asmat, Irian Jaya",24 April 1975,https://id.wikipedia.org/wiki/Apolo_Safanpo
bd3e7103-a8ea-40da-978f-896369f35bd4,Meki Fritz Nawipa,"Enarotali, Paniai Timur, Paniai, Irian Jaya",6 Mei 1978,https://id.wikipedia.org/wiki/Meki_Fritz_Nawipa
a22fc16d-a2b4-42b1-bd42-007f72891739,John Tabo,"Wugi, Tolikara, Papua",2 Juni 1970,https://id.wikipedia.org/wiki/John_Tabo
55187c24-3788-49c6-a37f-5fbb3e1e05b9,Elisa Kambu,"Ayamaru, Irian Barat",N/A,https://id.wikipedia.org/wiki/Elisa_Kambu
